subject_id	vote_percentage	true_label	vote_label	correct_vote
10	0.5	1	1	True
13	0.5625	1	1	True
16	0.7659574468085106	1	1	True
18	0.24444444444444444	1	2	False
20	0.6363636363636364	1	1	True
24	0.7222222222222222	1	1	True
25	0.28125	1	0	False
44	0.90625	0	0	True
47	0.5272727272727272	0	0	True
48	0.4	0	0	True
51	0.4489795918367347	0	0	True
56	0.5428571428571428	0	0	True
65	0.34375	0	1	False
68	0.36363636363636365	2	1	False
71	0.29310344827586204	2	1	False
79	0.17105263157894737	2	1	False
80	0.0	2	0	False
87	0.5263157894736842	2	2	True
