subject_id	vote_percentage	true_label	vote_label	correct_vote
10	0.5	1	1	True
13	0.5625	1	1	True
16	0.7446808510638298	1	1	True
18	0.4222222222222222	1	2	False
20	0.6727272727272727	1	1	True
24	0.6666666666666666	1	1	True
25	0.4375	1	0	False
44	0.921875	0	0	True
47	0.6	0	0	True
48	0.45	0	0	True
51	0.42857142857142855	0	0	True
56	0.6285714285714286	0	0	True
65	0.296875	0	2	False
68	0.38181818181818183	2	1	False
71	0.1724137931034483	2	1	False
79	0.19736842105263158	2	1	False
80	0.0	2	0	False
87	0.47368421052631576	2	2	True
