subject_id	vote_percentage	true_label	vote_label	correct_vote
10	0.453125	1	1	True
13	0.625	1	1	True
16	0.7446808510638298	1	1	True
18	0.5111111111111111	1	1	True
20	0.6727272727272727	1	1	True
24	0.6944444444444444	1	1	True
25	0.3125	1	0	False
44	0.9375	0	0	True
47	0.6181818181818182	0	0	True
48	0.55	0	0	True
51	0.4489795918367347	0	1	False
56	0.6571428571428571	0	0	True
65	0.328125	0	2	False
68	0.36363636363636365	2	1	False
71	0.3275862068965517	2	1	False
79	0.23684210526315788	2	1	False
80	0.012345679012345678	2	0	False
87	0.47368421052631576	2	2	True
