subject_id	vote_percentage	true_label	vote_label	correct_vote
10	0.4375	1	1	True
13	0.6458333333333334	1	1	True
16	0.7659574468085106	1	1	True
18	0.28888888888888886	1	2	False
20	0.5818181818181818	1	1	True
24	0.6944444444444444	1	1	True
25	0.25	1	0	False
44	0.9375	0	0	True
47	0.7090909090909091	0	0	True
48	0.55	0	0	True
51	0.5918367346938775	0	0	True
56	0.6285714285714286	0	0	True
65	0.328125	0	1	False
68	0.32727272727272727	2	1	False
71	0.46551724137931033	2	2	True
79	0.14473684210526316	2	1	False
80	0.012345679012345678	2	0	False
87	0.5614035087719298	2	2	True
