subject_id	vote_percentage	true_label	vote_label	correct_vote
10	0.40625	1	1	True
13	0.5625	1	1	True
16	0.6808510638297872	1	1	True
18	0.2	1	2	False
20	0.5818181818181818	1	1	True
24	0.75	1	1	True
25	0.5625	1	1	True
44	0.875	0	0	True
47	0.4909090909090909	0	0	True
48	0.4666666666666667	0	0	True
51	0.46938775510204084	0	0	True
56	0.5428571428571428	0	0	True
65	0.296875	0	1	False
68	0.3090909090909091	2	1	False
71	0.3275862068965517	2	1	False
79	0.14473684210526316	2	1	False
80	0.0	2	0	False
87	0.5263157894736842	2	2	True
