subject_id	vote_percentage	true_label	vote_label	correct_vote
10	0.484375	1	1	True
13	0.5833333333333334	1	1	True
16	0.7021276595744681	1	1	True
18	0.15555555555555556	1	2	False
20	0.6181818181818182	1	1	True
24	0.6944444444444444	1	1	True
25	0.40625	1	0	False
44	0.921875	0	0	True
47	0.5636363636363636	0	0	True
48	0.45	0	0	True
51	0.4489795918367347	0	0	True
56	0.6285714285714286	0	0	True
65	0.328125	0	1	False
68	0.2727272727272727	2	1	False
71	0.3103448275862069	2	1	False
79	0.11842105263157894	2	1	False
80	0.012345679012345678	2	0	False
87	0.49122807017543857	2	2	True
