subject_id	vote_percentage	true_label	vote_label	correct_vote
10	0.453125	1	1	True
13	0.4583333333333333	1	1	True
16	0.6808510638297872	1	1	True
18	0.26666666666666666	1	2	False
20	0.6	1	1	True
24	0.6388888888888888	1	1	True
25	0.34375	1	0	False
44	0.90625	0	0	True
47	0.45454545454545453	0	0	True
48	0.48333333333333334	0	0	True
51	0.3469387755102041	0	1	False
56	0.5714285714285714	0	0	True
65	0.28125	0	1	False
68	0.18181818181818182	2	1	False
71	0.27586206896551724	2	1	False
79	0.13157894736842105	2	1	False
80	0.0	2	0	False
87	0.6140350877192983	2	2	True
