subject_id	vote_percentage	true_label	vote_label	correct_vote
10	0.421875	1	1	True
13	0.625	1	1	True
16	0.6808510638297872	1	1	True
18	0.35555555555555557	1	2	False
20	0.6363636363636364	1	1	True
24	0.6111111111111112	1	1	True
25	0.375	1	0	False
44	0.890625	0	0	True
47	0.6	0	0	True
48	0.5	0	0	True
51	0.46938775510204084	0	0	True
56	0.6285714285714286	0	0	True
65	0.328125	0	2	False
68	0.38181818181818183	2	1	False
71	0.22413793103448276	2	1	False
79	0.2236842105263158	2	1	False
80	0.0	2	0	False
87	0.49122807017543857	2	2	True
