subject_id	vote_percentage	true_label	vote_label	correct_vote
10	0.421875	1	1	True
13	0.5833333333333334	1	1	True
16	0.7446808510638298	1	1	True
18	0.2	1	2	False
20	0.6363636363636364	1	1	True
24	0.6944444444444444	1	1	True
25	0.3125	1	0	False
44	0.875	0	0	True
47	0.509090909090909	0	0	True
48	0.43333333333333335	0	0	True
51	0.40816326530612246	0	1	False
56	0.6	0	0	True
65	0.375	0	0	True
68	0.34545454545454546	2	1	False
71	0.27586206896551724	2	1	False
79	0.23684210526315788	2	1	False
80	0.0	2	0	False
87	0.543859649122807	2	2	True
