subject_id	vote_percentage	true_label	vote_label	correct_vote
10	0.421875	1	1	True
13	0.6041666666666666	1	1	True
16	0.6808510638297872	1	1	True
18	0.17777777777777778	1	2	False
20	0.6181818181818182	1	1	True
24	0.6388888888888888	1	1	True
25	0.34375	1	0	False
44	0.859375	0	0	True
47	0.4727272727272727	0	0	True
48	0.4166666666666667	0	1	False
51	0.40816326530612246	0	1	False
56	0.6285714285714286	0	0	True
65	0.359375	0	1	False
68	0.34545454545454546	2	1	False
71	0.29310344827586204	2	1	False
79	0.18421052631578946	2	1	False
80	0.0	2	0	False
87	0.5789473684210527	2	2	True
