subject_id	vote_percentage	true_label	vote_label	correct_vote
10	0.484375	1	1	True
13	0.5625	1	1	True
16	0.7659574468085106	1	1	True
18	0.2222222222222222	1	2	False
20	0.6545454545454545	1	1	True
24	0.6388888888888888	1	1	True
25	0.28125	1	0	False
44	0.9375	0	0	True
47	0.509090909090909	0	0	True
48	0.38333333333333336	0	1	False
51	0.42857142857142855	0	0	True
56	0.5428571428571428	0	0	True
65	0.265625	0	1	False
68	0.21818181818181817	2	0	False
71	0.3448275862068966	2	1	False
79	0.15789473684210525	2	0	False
80	0.012345679012345678	2	0	False
87	0.5087719298245614	2	2	True
