subject_id	vote_percentage	true_label	vote_label	correct_vote
10	0.453125	1	1	True
13	0.625	1	1	True
16	0.723404255319149	1	1	True
18	0.2222222222222222	1	2	False
20	0.5636363636363636	1	1	True
24	0.75	1	1	True
25	0.25	1	0	False
44	0.921875	0	0	True
47	0.6181818181818182	0	0	True
48	0.5333333333333333	0	0	True
51	0.5510204081632653	0	0	True
56	0.6285714285714286	0	0	True
65	0.375	0	0	True
68	0.34545454545454546	2	1	False
71	0.46551724137931033	2	2	True
79	0.15789473684210525	2	1	False
80	0.012345679012345678	2	0	False
87	0.5614035087719298	2	2	True
